symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
SIGN/USDT,-0.003664,bitget,2025-11-05 16:00:00+00:00,-0.00139118,bybit,2025-11-05 15:00:00+00:00,0.00139118,B_in_next→use_rate_b
ERA/USDT,-0.011467,bitget,2025-11-05 16:00:00+00:00,-0.00138385,bybit,2025-11-05 15:00:00+00:00,0.00138385,B_in_next→use_rate_b
TREE/USDT,-0.001294,bitget,2025-11-05 16:00:00+00:00,-0.00082633,bybit,2025-11-05 15:00:00+00:00,0.00082633,B_in_next→use_rate_b
0G/USDT,-0.000619,bitget,2025-11-05 15:00:00+00:00,1.25e-05,htx,2025-11-05 15:00:00+00:00,0.0006315,same_time→spread
LPT/USDT,-0.000815,bitget,2025-11-05 16:00:00+00:00,-0.00056422,bybit,2025-11-05 15:00:00+00:00,0.00056422,B_in_next→use_rate_b
LA/USDT,-0.00030005,bybit,2025-11-05 15:00:00+00:00,-0.000186,bitget,2025-11-05 16:00:00+00:00,0.00030005,B_in_next→use_rate_b
OM/USDT,-0.0007,bitget,2025-11-05 16:00:00+00:00,-0.00028169,bybit,2025-11-05 15:00:00+00:00,0.00028169,B_in_next→use_rate_b
M/USDT,0.00024291812047713,htx,2025-11-05 15:00:00+00:00,0.000946,bitget,2025-11-05 16:00:00+00:00,0.00024291812047713,B_in_next→use_rate_b
PRCL/USDT,-0.000218,bitget,2025-11-05 15:00:00+00:00,1.25e-05,bybit,2025-11-05 15:00:00+00:00,0.00023050000000000002,same_time→spread
WAL/USDT,-0.000782,bitget,2025-11-05 16:00:00+00:00,-0.00021409,bybit,2025-11-05 15:00:00+00:00,0.00021409,B_in_next→use_rate_b
ELX/USDT,-0.000243,bitget,2025-11-05 15:00:00+00:00,-0.00013279,bybit,2025-11-05 15:00:00+00:00,0.00011020999999999999,same_time→spread
SNT/USDT,-0.00018,bitget,2025-11-05 15:00:00+00:00,-7.644e-05,bybit,2025-11-05 15:00:00+00:00,0.00010356,same_time→spread
BIO/USDT,-8e-05,bitget,2025-11-05 15:00:00+00:00,1.25e-05,bybit,2025-11-05 15:00:00+00:00,9.250000000000001e-05,same_time→spread
ME/USDT,-4.5e-05,bitget,2025-11-05 15:00:00+00:00,1.25e-05,bybit,2025-11-05 15:00:00+00:00,5.75e-05,same_time→spread
XTZ/USDT,-0.000442,bitget,2025-11-05 16:00:00+00:00,-5.247e-05,bybit,2025-11-05 15:00:00+00:00,5.247e-05,B_in_next→use_rate_b
CARV/USDT,-4.862e-05,bybit,2025-11-05 15:00:00+00:00,0.000568,bitget,2025-11-05 16:00:00+00:00,4.862e-05,B_in_next→use_rate_b
AIA/USDT,-3.34e-05,bybit,2025-11-05 15:00:00+00:00,5e-05,bitget,2025-11-05 16:00:00+00:00,3.34e-05,B_in_next→use_rate_b
SUPER/USDT,-2e-05,bitget,2025-11-05 15:00:00+00:00,1.25e-05,bybit,2025-11-05 15:00:00+00:00,3.2500000000000004e-05,same_time→spread
SAHARA/USDT,-2.559e-05,bybit,2025-11-05 15:00:00+00:00,5e-05,bitget,2025-11-05 16:00:00+00:00,2.559e-05,B_in_next→use_rate_b
COAI/USDT,1.9e-05,bitget,2025-11-05 15:00:00+00:00,0.0008909431096299,okx,2025-11-05 16:00:00+00:00,1.9e-05,A_in_next→use_rate_a
HANA/USDT,1.4e-05,bitget,2025-11-05 15:00:00+00:00,5e-05,bybit,2025-11-05 16:00:00+00:00,1.4e-05,A_in_next→use_rate_a
CUDIS/USDT,1.3e-05,bitget,2025-11-05 15:00:00+00:00,5e-05,bybit,2025-11-05 16:00:00+00:00,1.3e-05,A_in_next→use_rate_a
