symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
ELX/USDT,-0.00189244,bybit,2025-11-02 10:00:00+00:00,-0.000401,bitget,2025-11-02 10:00:00+00:00,0.0014914400000000001,same_time→spread
LPT/USDT,-0.005111,bitget,2025-11-02 12:00:00+00:00,-0.00125986,bybit,2025-11-02 10:00:00+00:00,0.00125986,B_in_next→use_rate_b
PRCL/USDT,-0.0042490107260033,okx,2025-11-02 12:00:00+00:00,-0.001057,bitget,2025-11-02 10:00:00+00:00,0.001057,A_in_next→use_rate_a
WAL/USDT,-0.000856,bitget,2025-11-02 12:00:00+00:00,-0.00053769,bybit,2025-11-02 10:00:00+00:00,0.00053769,B_in_next→use_rate_b
BIO/USDT,-0.0008653821977686,okx,2025-11-02 10:00:00+00:00,-0.000335,bitget,2025-11-02 10:00:00+00:00,0.0005303821977686,same_time→spread
0G/USDT,-0.0014809657559429,okx,2025-11-02 12:00:00+00:00,-0.00046544,bybit,2025-11-02 10:00:00+00:00,0.00046544,A_in_next→use_rate_a
AVNT/USDT,-0.001028,bitget,2025-11-02 12:00:00+00:00,-0.0004134302132768,okx,2025-11-02 10:00:00+00:00,0.0004134302132768,B_in_next→use_rate_b
ZBT/USDT,-0.0005462636536944,okx,2025-11-02 12:00:00+00:00,-0.000404839071973966,htx,2025-11-02 10:00:00+00:00,0.000404839071973966,A_in_next→use_rate_a
FLOCK/USDT,-0.000587,bitget,2025-11-02 12:00:00+00:00,-0.00039353,bybit,2025-11-02 10:00:00+00:00,0.00039353,B_in_next→use_rate_b
DOOD/USDT,-0.0009308333504132,okx,2025-11-02 12:00:00+00:00,-0.00035,bitget,2025-11-02 10:00:00+00:00,0.00035,A_in_next→use_rate_a
NEWT/USDT,-0.000623,bitget,2025-11-02 12:00:00+00:00,-0.00034448,bybit,2025-11-02 10:00:00+00:00,0.00034448,B_in_next→use_rate_b
BERA/USDT,-0.00028179,bybit,2025-11-02 10:00:00+00:00,4.1e-05,bitget,2025-11-02 12:00:00+00:00,0.00028179,B_in_next→use_rate_b
XTZ/USDT,-0.000386,bitget,2025-11-02 12:00:00+00:00,-0.0002209,bybit,2025-11-02 10:00:00+00:00,0.0002209,B_in_next→use_rate_b
SONIC/USDT,-0.000234,bitget,2025-11-02 12:00:00+00:00,-0.00020324,bybit,2025-11-02 10:00:00+00:00,0.00020324,B_in_next→use_rate_b
GODS/USDT,-0.000188,bitget,2025-11-02 10:00:00+00:00,-0.0001197,bybit,2025-11-02 12:00:00+00:00,0.000188,A_in_next→use_rate_a
VANA/USDT,-0.0001569,bybit,2025-11-02 10:00:00+00:00,-9.5e-05,bitget,2025-11-02 12:00:00+00:00,0.0001569,B_in_next→use_rate_b
F/USDT,-0.00013,bitget,2025-11-02 10:00:00+00:00,1.25e-05,htx,2025-11-02 10:00:00+00:00,0.0001425,same_time→spread
COAI/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,0.0001530592864359,okx,2025-11-02 10:00:00+00:00,0.0001405592864359,same_time→spread
SOPH/USDT,-0.0001398,bybit,2025-11-02 10:00:00+00:00,5e-05,htx,2025-11-02 12:00:00+00:00,0.0001398,A_in_next→use_rate_a
KAITO/USDT,-0.000587,bitget,2025-11-02 12:00:00+00:00,-0.00013473,bybit,2025-11-02 10:00:00+00:00,0.00013473,B_in_next→use_rate_b
BARD/USDT,-9.194e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,9.194e-05,B_in_next→use_rate_b
ENSO/USDT,-0.00046,bitget,2025-11-02 12:00:00+00:00,-5.95e-05,bybit,2025-11-02 10:00:00+00:00,5.95e-05,B_in_next→use_rate_b
IP/USDT,-1.711867034605e-05,htx,2025-11-02 10:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,2.9618670346049997e-05,same_time→spread
ME/USDT,-0.000224,bitget,2025-11-02 10:00:00+00:00,-0.00019899,bybit,2025-11-02 10:00:00+00:00,2.5010000000000006e-05,same_time→spread
BAN/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
MAGIC/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
T/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
ANIME/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
BABY/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
ZETA/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
HIVE/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
COW/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
USUAL/USDT,1.4e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,bybit,2025-11-02 10:00:00+00:00,2.5e-05,B_in_next→use_rate_b
B3/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
GAS/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
CGPT/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
MOVE/USDT,2.5e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.5e-05,B_in_next→use_rate_b
ORCA/USDT,2.335e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,2.335e-05,B_in_next→use_rate_b
HANA/USDT,1.3e-05,bitget,2025-11-02 10:00:00+00:00,5e-05,bybit,2025-11-02 12:00:00+00:00,1.3e-05,A_in_next→use_rate_a
SOMI/USDT,-9.4e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SIGN/USDT,-0.000332,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
WCT/USDT,-7e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
TREE/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SAHARA/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
VIC/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
TURTLE/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
LA/USDT,-0.000252,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
RVN/USDT,-0.000541,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
AIA/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,0.00047,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
API3/USDT,-0.000143,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
AXL/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
CARV/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ERA/USDT,-9.4e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
H/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
OM/USDT,-8e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
HYPER/USDT,-0.000191,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
M/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MASK/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MIRA/USDT,-0.000135,bitget,2025-11-02 12:00:00+00:00,1.25e-05,bybit,2025-11-02 10:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MYX/USDT,1.25e-05,bybit,2025-11-02 10:00:00+00:00,5e-05,bitget,2025-11-02 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
