symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
LPT/USDT,-0.004057,bitget,2025-11-01 16:00:00+00:00,-0.00138367,bybit,2025-11-01 14:00:00+00:00,0.00138367,B_in_next→use_rate_b
PRCL/USDT,-0.0025750585491587,okx,2025-11-01 16:00:00+00:00,-0.00084,bitget,2025-11-01 14:00:00+00:00,0.00084,A_in_next→use_rate_a
COAI/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.0007372888487282,okx,2025-11-01 14:00:00+00:00,0.0007247888487282,same_time→spread
NEWT/USDT,-0.002305,bitget,2025-11-01 16:00:00+00:00,-0.00051771,bybit,2025-11-01 14:00:00+00:00,0.00051771,B_in_next→use_rate_b
DOOD/USDT,-0.00048209,bybit,2025-11-01 14:00:00+00:00,-0.0003673468275078,okx,2025-11-01 16:00:00+00:00,0.00048209,A_in_next→use_rate_a
IP/USDT,-0.001137,bitget,2025-11-01 16:00:00+00:00,-0.000361190817151055,htx,2025-11-01 14:00:00+00:00,0.000361190817151055,B_in_next→use_rate_b
SONIC/USDT,-0.00034944,bybit,2025-11-01 14:00:00+00:00,-1.7e-05,bitget,2025-11-01 16:00:00+00:00,0.00034944,B_in_next→use_rate_b
ENSO/USDT,-0.00034463,bybit,2025-11-01 14:00:00+00:00,-5.1e-05,bitget,2025-11-01 16:00:00+00:00,0.00034463,B_in_next→use_rate_b
0G/USDT,-0.000199,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.00021150000000000002,same_time→spread
SNT/USDT,-0.000199,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.00021150000000000002,same_time→spread
XTZ/USDT,-0.000463,bitget,2025-11-01 16:00:00+00:00,-0.00017874,bybit,2025-11-01 14:00:00+00:00,0.00017874,B_in_next→use_rate_b
KAITO/USDT,-0.001161,bitget,2025-11-01 16:00:00+00:00,-0.00017824,bybit,2025-11-01 14:00:00+00:00,0.00017824,B_in_next→use_rate_b
