symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
SOON/USDT,-0.002248508495909871,htx,2025-11-12 20:00:00+00:00,-0.00114479,bybit,2025-11-12 18:00:00+00:00,0.00114479,A_in_next→use_rate_a
SNT/USDT,-0.00115467,bybit,2025-11-12 18:00:00+00:00,-0.00032,bitget,2025-11-12 18:00:00+00:00,0.00083467,same_time→spread
AVL/USDT,-0.00075,bitget,2025-11-12 18:00:00+00:00,2.5e-05,bybit,2025-11-12 18:00:00+00:00,0.000775,same_time→spread
SONIC/USDT,-0.00072427,bybit,2025-11-12 18:00:00+00:00,-0.00039,bitget,2025-11-12 20:00:00+00:00,0.00072427,B_in_next→use_rate_b
GODS/USDT,-0.0021805,bybit,2025-11-12 20:00:00+00:00,-0.000703,bitget,2025-11-12 18:00:00+00:00,0.000703,A_in_next→use_rate_a
BABY/USDT,-0.000773,bitget,2025-11-12 20:00:00+00:00,-0.00056124,bybit,2025-11-12 18:00:00+00:00,0.00056124,B_in_next→use_rate_b
DOOD/USDT,-0.000478,bitget,2025-11-12 18:00:00+00:00,1.25e-05,bybit,2025-11-12 18:00:00+00:00,0.0004905,same_time→spread
0G/USDT,-0.000443,bitget,2025-11-12 18:00:00+00:00,1.25e-05,htx,2025-11-12 18:00:00+00:00,0.00045549999999999996,same_time→spread
BIO/USDT,-0.0009412308500774,okx,2025-11-12 20:00:00+00:00,-0.00037722,bybit,2025-11-12 18:00:00+00:00,0.00037722,A_in_next→use_rate_a
LSK/USDT,-0.000936,bitget,2025-11-12 18:00:00+00:00,-0.00060888,bybit,2025-11-12 18:00:00+00:00,0.00032711999999999997,same_time→spread
F/USDT,-0.00024933,bybit,2025-11-12 18:00:00+00:00,1.25e-05,htx,2025-11-12 18:00:00+00:00,0.00026183,same_time→spread
MAGIC/USDT,-0.000616,bitget,2025-11-12 20:00:00+00:00,-0.00021797,bybit,2025-11-12 18:00:00+00:00,0.00021797,B_in_next→use_rate_b
IP/USDT,-0.00018858,bybit,2025-11-12 18:00:00+00:00,1.25e-05,htx,2025-11-12 18:00:00+00:00,0.00020108,same_time→spread
VANA/USDT,-0.000363,bitget,2025-11-12 20:00:00+00:00,-0.00019253,bybit,2025-11-12 18:00:00+00:00,0.00019253,B_in_next→use_rate_b
RVN/USDT,-0.000158,bitget,2025-11-12 20:00:00+00:00,-0.00014591,bybit,2025-11-12 18:00:00+00:00,0.00014591,B_in_next→use_rate_b
COAI/USDT,5e-05,okx,2025-11-12 20:00:00+00:00,0.00011347,bybit,2025-11-12 18:00:00+00:00,0.00011347,A_in_next→use_rate_a
AIA/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,0.000118989963093459,htx,2025-11-12 18:00:00+00:00,0.00010648996309345899,same_time→spread
KAVA/USDT,-0.00037135,bybit,2025-11-13 00:00:00+00:00,-9.9e-05,bitget,2025-11-12 18:00:00+00:00,9.9e-05,A_in_next→use_rate_a
HANA/USDT,5e-05,bybit,2025-11-12 20:00:00+00:00,9e-05,bitget,2025-11-12 18:00:00+00:00,9e-05,A_in_next→use_rate_a
WCT/USDT,-0.000386,bitget,2025-11-12 20:00:00+00:00,-8.048e-05,bybit,2025-11-12 18:00:00+00:00,8.048e-05,B_in_next→use_rate_b
XTZ/USDT,-0.000211,bitget,2025-11-12 20:00:00+00:00,-7.831e-05,bybit,2025-11-12 18:00:00+00:00,7.831e-05,B_in_next→use_rate_b
ME/USDT,-5.9e-05,bitget,2025-11-12 18:00:00+00:00,1.25e-05,bybit,2025-11-12 18:00:00+00:00,7.15e-05,same_time→spread
MERL/USDT,-5.69817942268e-05,okx,2025-11-12 18:00:00+00:00,1.25e-05,bybit,2025-11-12 18:00:00+00:00,6.94817942268e-05,same_time→spread
PYR/USDT,-4.7e-05,bitget,2025-11-12 18:00:00+00:00,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5.9499999999999996e-05,same_time→spread
DBR/USDT,-0.000127,bitget,2025-11-12 18:00:00+00:00,-6.832e-05,bybit,2025-11-12 18:00:00+00:00,5.868e-05,same_time→spread
MASK/USDT,-3.744e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,3.744e-05,B_in_next→use_rate_b
MOVE/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
T/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
USUAL/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
ZETA/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
ANIME/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
BERA/USDT,-0.00042,bitget,2025-11-12 20:00:00+00:00,2.5e-05,bybit,2025-11-12 18:00:00+00:00,2.5e-05,B_in_next→use_rate_b
CGPT/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
HIVE/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
COW/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
B3/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
BAN/USDT,2.5e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,2.5e-05,B_in_next→use_rate_b
GAS/USDT,8e-06,bitget,2025-11-12 20:00:00+00:00,2.5e-05,bybit,2025-11-12 18:00:00+00:00,2.5e-05,B_in_next→use_rate_b
PRCL/USDT,1.3e-05,bitget,2025-11-12 18:00:00+00:00,5e-05,okx,2025-11-12 20:00:00+00:00,1.3e-05,A_in_next→use_rate_a
RIVER/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SUPER/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
AXL/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOMI/USDT,-9.8e-05,bitget,2025-11-12 20:00:00+00:00,1.25e-05,bybit,2025-11-12 18:00:00+00:00,1.25e-05,B_in_next→use_rate_b
API3/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ERA/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOPH/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,htx,2025-11-12 20:00:00+00:00,1.25e-05,A_in_next→use_rate_a
TREE/USDT,-0.000308,bitget,2025-11-12 20:00:00+00:00,1.25e-05,bybit,2025-11-12 18:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ENSO/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SAHARA/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
VIC/USDT,1.25e-05,bybit,2025-11-12 18:00:00+00:00,5e-05,bitget,2025-11-12 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
