symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
0G/USDT,-0.0139747364521514,okx,2025-11-04 09:00:00+00:00,-0.007884,bitget,2025-11-04 09:00:00+00:00,0.006090736452151399,same_time→spread
ELX/USDT,-0.00348032,bybit,2025-11-04 09:00:00+00:00,-0.000328,bitget,2025-11-04 09:00:00+00:00,0.0031523199999999997,same_time→spread
LPT/USDT,-0.001578,bitget,2025-11-04 12:00:00+00:00,-0.00096138,bybit,2025-11-04 09:00:00+00:00,0.00096138,B_in_next→use_rate_b
SNT/USDT,-0.00100681,bybit,2025-11-04 09:00:00+00:00,-0.000196,bitget,2025-11-04 09:00:00+00:00,0.0008108099999999999,same_time→spread
AVNT/USDT,-0.001134,bitget,2025-11-04 12:00:00+00:00,-0.0008040596849286,okx,2025-11-04 09:00:00+00:00,0.0008040596849286,B_in_next→use_rate_b
TREE/USDT,-0.001497,bitget,2025-11-04 12:00:00+00:00,-0.00074494,bybit,2025-11-04 09:00:00+00:00,0.00074494,B_in_next→use_rate_b
SIGN/USDT,-0.004243,bitget,2025-11-04 12:00:00+00:00,-0.00048387,bybit,2025-11-04 09:00:00+00:00,0.00048387,B_in_next→use_rate_b
WAL/USDT,-0.000648,bitget,2025-11-04 12:00:00+00:00,-0.00044832,bybit,2025-11-04 09:00:00+00:00,0.00044832,B_in_next→use_rate_b
ME/USDT,-0.00051125,bybit,2025-11-04 09:00:00+00:00,-0.0001101876402603,okx,2025-11-04 09:00:00+00:00,0.0004010623597397,same_time→spread
PRCL/USDT,-0.003100976205835,okx,2025-11-04 12:00:00+00:00,-0.00039,bitget,2025-11-04 09:00:00+00:00,0.00039,A_in_next→use_rate_a
OM/USDT,-0.000424,bitget,2025-11-04 12:00:00+00:00,-0.00037663,bybit,2025-11-04 09:00:00+00:00,0.00037663,B_in_next→use_rate_b
ZBT/USDT,-0.000358,bitget,2025-11-04 09:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,0.00037049999999999995,same_time→spread
BIO/USDT,-0.00026,bitget,2025-11-04 09:00:00+00:00,-1.4708460213814e-05,htx,2025-11-04 09:00:00+00:00,0.000245291539786186,same_time→spread
HANA/USDT,0.000168,bitget,2025-11-04 09:00:00+00:00,0.00124721,bybit,2025-11-04 12:00:00+00:00,0.000168,A_in_next→use_rate_a
XTZ/USDT,-0.000503,bitget,2025-11-04 12:00:00+00:00,-0.00015461,bybit,2025-11-04 09:00:00+00:00,0.00015461,B_in_next→use_rate_b
KAITO/USDT,-0.000439,bitget,2025-11-04 12:00:00+00:00,-0.00012518,bybit,2025-11-04 09:00:00+00:00,0.00012518,B_in_next→use_rate_b
API3/USDT,-0.00018,bitget,2025-11-04 12:00:00+00:00,-0.00011311,bybit,2025-11-04 09:00:00+00:00,0.00011311,B_in_next→use_rate_b
F/USDT,-5.1e-05,bitget,2025-11-04 09:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,6.35e-05,same_time→spread
IP/USDT,-3.127e-05,bybit,2025-11-04 09:00:00+00:00,1.25e-05,htx,2025-11-04 09:00:00+00:00,4.3769999999999996e-05,same_time→spread
ZENT/USDT,-0.00249131,bybit,2025-11-04 16:00:00+00:00,-4.32023135755e-05,okx,2025-11-04 09:00:00+00:00,4.32023135755e-05,B_in_next→use_rate_b
SUPER/USDT,-1.5e-05,bitget,2025-11-04 09:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,2.75e-05,same_time→spread
DOOD/USDT,-0.0001004912063318,okx,2025-11-04 12:00:00+00:00,1.3e-05,bitget,2025-11-04 09:00:00+00:00,1.3e-05,A_in_next→use_rate_a
WCT/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,3.7e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOPH/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,htx,2025-11-04 12:00:00+00:00,1.25e-05,A_in_next→use_rate_a
TURTLE/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,3.7e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SAHARA/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
VIC/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
RVN/USDT,-0.000294,bitget,2025-11-04 12:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOMI/USDT,-0.000251,bitget,2025-11-04 12:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,1.25e-05,B_in_next→use_rate_b
M/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
NEWT/USDT,-0.000667,bitget,2025-11-04 12:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,1.25e-05,B_in_next→use_rate_b
FLOCK/USDT,-0.000506,bitget,2025-11-04 12:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,1.25e-05,B_in_next→use_rate_b
AXL/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
BARD/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
CARV/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ENSO/USDT,-0.000373,bitget,2025-11-04 12:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ERA/USDT,-0.000182,bitget,2025-11-04 12:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MYX/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
FF/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
H/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
HYPER/USDT,-0.000129,bitget,2025-11-04 12:00:00+00:00,1.25e-05,bybit,2025-11-04 09:00:00+00:00,1.25e-05,B_in_next→use_rate_b
LA/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
AIA/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,0.000531,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MASK/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MIRA/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ZRC/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,5e-05,bitget,2025-11-04 12:00:00+00:00,1.25e-05,B_in_next→use_rate_b
DBR/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,1.3e-05,bitget,2025-11-04 09:00:00+00:00,4.999999999999986e-07,same_time→spread
COAI/USDT,1.25e-05,bybit,2025-11-04 09:00:00+00:00,1.3e-05,bitget,2025-11-04 09:00:00+00:00,4.999999999999986e-07,same_time→spread
