timestamp_utc,exchange,symbol,symbol_n,funding_rate,next_funding_rate,next_funding_time,funding_time,raw_note
2025-11-16 11:07:15+0000,bitget,HBARUSDT_UMCBL,HBAR/USDT,1e-05,,,2025-11-16 16:00:00+0000,symbol_used=HBARUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,HYPEUSDT_UMCBL,HYPE/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=HYPEUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,ICPUSDT_UMCBL,ICP/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=ICPUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,INJUSDT_UMCBL,INJ/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=INJUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,LAUSDT_UMCBL,LA/USDT,-0.000604,,,2025-11-16 12:00:00+0000,symbol_used=LAUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,LINKUSDT_UMCBL,LINK/USDT,-9.8e-05,,,2025-11-16 16:00:00+0000,symbol_used=LINKUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,LSKUSDT_UMCBL,LSK/USDT,-0.000349,,,2025-11-16 12:00:00+0000,symbol_used=LSKUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,LTCUSDT_UMCBL,LTC/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=LTCUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,MUBARAKUSDT_UMCBL,MUBARAK/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=MUBARAKUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,NEARUSDT_UMCBL,NEAR/USDT,-0.000135,,,2025-11-16 16:00:00+0000,symbol_used=NEARUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,ONDOUSDT_UMCBL,ONDO/USDT,1.1e-05,,,2025-11-16 12:00:00+0000,symbol_used=ONDOUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,OPUSDT_UMCBL,OP/USDT,3.2e-05,,,2025-11-16 16:00:00+0000,symbol_used=OPUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,PENGUUSDT_UMCBL,PENGU/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=PENGUUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,PEPEUSDT_UMCBL,PEPE/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=PEPEUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,PUMPFUNUSDT_UMCBL,PUMPFUN/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=PUMPFUNUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,RESOLVUSDT_UMCBL,RESOLV/USDT,-0.007958,,,2025-11-16 12:00:00+0000,symbol_used=RESOLVUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,RIVERUSDT_UMCBL,RIVER/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=RIVERUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,SAPIENUSDT_UMCBL,SAPIEN/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=SAPIENUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:15+0000,bitget,SEIUSDT_UMCBL,SEI/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=SEIUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
