symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
TREE/USDT,-0.002053,bitget,2025-11-05 00:00:00+00:00,-0.0016757,bybit,2025-11-04 21:00:00+00:00,0.0016757,B_in_next→use_rate_b
AIA/USDT,5e-05,bitget,2025-11-05 00:00:00+00:00,0.00083234,bybit,2025-11-04 21:00:00+00:00,0.00083234,B_in_next→use_rate_b
SIGN/USDT,-0.00132,bitget,2025-11-05 00:00:00+00:00,-0.00081704,bybit,2025-11-04 21:00:00+00:00,0.00081704,B_in_next→use_rate_b
SNT/USDT,-0.00053846,bybit,2025-11-04 21:00:00+00:00,-9.9e-05,bitget,2025-11-04 21:00:00+00:00,0.00043946,same_time→spread
PRCL/USDT,-0.000391,bitget,2025-11-04 21:00:00+00:00,1.25e-05,bybit,2025-11-04 21:00:00+00:00,0.0004035,same_time→spread
0G/USDT,-0.00193734,bybit,2025-11-04 21:00:00+00:00,-0.001549,bitget,2025-11-04 21:00:00+00:00,0.00038834000000000004,same_time→spread
BIO/USDT,-0.0015876012916923,okx,2025-11-05 00:00:00+00:00,-0.00032853,bybit,2025-11-04 21:00:00+00:00,0.00032853,A_in_next→use_rate_a
ELX/USDT,-0.000306,bitget,2025-11-04 21:00:00+00:00,1.25e-05,bybit,2025-11-04 21:00:00+00:00,0.0003185,same_time→spread
MYX/USDT,5e-05,bitget,2025-11-05 00:00:00+00:00,0.00017564,bybit,2025-11-04 21:00:00+00:00,0.00017564,B_in_next→use_rate_b
XTZ/USDT,-0.000351,bitget,2025-11-05 00:00:00+00:00,-0.00015415,bybit,2025-11-04 21:00:00+00:00,0.00015415,B_in_next→use_rate_b
ME/USDT,-7.5e-05,bitget,2025-11-04 21:00:00+00:00,1.25e-05,bybit,2025-11-04 21:00:00+00:00,8.75e-05,same_time→spread
LA/USDT,-8.093e-05,bybit,2025-11-04 21:00:00+00:00,5e-05,bitget,2025-11-05 00:00:00+00:00,8.093e-05,B_in_next→use_rate_b
RVN/USDT,-0.000131,bitget,2025-11-05 00:00:00+00:00,-6.89e-05,bybit,2025-11-04 21:00:00+00:00,6.89e-05,B_in_next→use_rate_b
HANA/USDT,6e-05,bitget,2025-11-04 21:00:00+00:00,0.00022401,bybit,2025-11-05 00:00:00+00:00,6e-05,A_in_next→use_rate_a
F/USDT,-3.5e-05,bitget,2025-11-04 21:00:00+00:00,1.25e-05,bybit,2025-11-04 21:00:00+00:00,4.7499999999999996e-05,same_time→spread
SUPER/USDT,-3.4e-05,bitget,2025-11-04 21:00:00+00:00,1.25e-05,bybit,2025-11-04 21:00:00+00:00,4.65e-05,same_time→spread
KAITO/USDT,-0.000213,bitget,2025-11-05 00:00:00+00:00,-2.436e-05,bybit,2025-11-04 21:00:00+00:00,2.436e-05,B_in_next→use_rate_b
DOOD/USDT,-3.64e-06,bybit,2025-11-04 21:00:00+00:00,1.3e-05,bitget,2025-11-04 21:00:00+00:00,1.664e-05,same_time→spread
COAI/USDT,1.3e-05,bitget,2025-11-04 21:00:00+00:00,5e-05,okx,2025-11-05 00:00:00+00:00,1.3e-05,A_in_next→use_rate_a
ZBT/USDT,1.3e-05,bitget,2025-11-04 21:00:00+00:00,5e-05,okx,2025-11-05 00:00:00+00:00,1.3e-05,A_in_next→use_rate_a
VIC/USDT,1.25e-05,bybit,2025-11-04 21:00:00+00:00,5e-05,bitget,2025-11-05 00:00:00+00:00,1.25e-05,B_in_next→use_rate_b
WCT/USDT,1.25e-05,bybit,2025-11-04 21:00:00+00:00,5e-05,bitget,2025-11-05 00:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOMI/USDT,-6.7e-05,bitget,2025-11-05 00:00:00+00:00,1.25e-05,bybit,2025-11-04 21:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOPH/USDT,1.25e-05,bybit,2025-11-04 21:00:00+00:00,5e-05,okx,2025-11-05 00:00:00+00:00,1.25e-05,A_in_next→use_rate_a
SAHARA/USDT,1.25e-05,bybit,2025-11-04 21:00:00+00:00,5e-05,bitget,2025-11-05 00:00:00+00:00,1.25e-05,B_in_next→use_rate_b
OM/USDT,-0.000635,bitget,2025-11-05 00:00:00+00:00,1.25e-05,bybit,2025-11-04 21:00:00+00:00,1.25e-05,B_in_next→use_rate_b
