symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
DOOD/USDT,-0.0041963637210426,okx,2025-11-01 20:00:00+00:00,-0.00132947,bybit,2025-11-01 17:00:00+00:00,0.00132947,A_in_next→use_rate_a
PRCL/USDT,-0.000744,bitget,2025-11-01 17:00:00+00:00,8.53e-06,bybit,2025-11-01 17:00:00+00:00,0.00075253,same_time→spread
IP/USDT,-0.000985,bitget,2025-11-01 20:00:00+00:00,-0.00067789,bybit,2025-11-01 17:00:00+00:00,0.00067789,B_in_next→use_rate_b
COAI/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,0.0006055130165514,okx,2025-11-01 17:00:00+00:00,0.0005930130165514,same_time→spread
WAL/USDT,-0.001032,bitget,2025-11-01 20:00:00+00:00,-0.0004738,bybit,2025-11-01 17:00:00+00:00,0.0004738,B_in_next→use_rate_b
MIRA/USDT,-0.0004592,bybit,2025-11-01 17:00:00+00:00,1.25e-05,htx,2025-11-01 17:00:00+00:00,0.0004717,same_time→spread
AVNT/USDT,-0.001003,bitget,2025-11-01 20:00:00+00:00,-0.0004252147634209,okx,2025-11-01 17:00:00+00:00,0.0004252147634209,B_in_next→use_rate_b
LPT/USDT,-0.002344,bitget,2025-11-01 20:00:00+00:00,-0.00040906,bybit,2025-11-01 17:00:00+00:00,0.00040906,B_in_next→use_rate_b
SIGN/USDT,-0.00025512,bybit,2025-11-01 17:00:00+00:00,-0.00023,bitget,2025-11-01 20:00:00+00:00,0.00025512,B_in_next→use_rate_b
0G/USDT,-0.00018885,bybit,2025-11-01 17:00:00+00:00,1.25e-05,htx,2025-11-01 17:00:00+00:00,0.00020135000000000002,same_time→spread
KAITO/USDT,-0.001009,bitget,2025-11-01 20:00:00+00:00,-0.00017445,bybit,2025-11-01 17:00:00+00:00,0.00017445,B_in_next→use_rate_b
XTZ/USDT,-0.000313,bitget,2025-11-01 20:00:00+00:00,-0.00014497,bybit,2025-11-01 17:00:00+00:00,0.00014497,B_in_next→use_rate_b
ME/USDT,-0.00017743,bybit,2025-11-01 17:00:00+00:00,-4.19153678763e-05,okx,2025-11-01 17:00:00+00:00,0.0001355146321237,same_time→spread
SNT/USDT,-0.000112,bitget,2025-11-01 17:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,0.0001245,same_time→spread
BIO/USDT,-0.0002347638163687,okx,2025-11-01 17:00:00+00:00,-0.000123307438708032,htx,2025-11-01 17:00:00+00:00,0.000111456377660668,same_time→spread
NEWT/USDT,-0.000885,bitget,2025-11-01 20:00:00+00:00,-9.293e-05,bybit,2025-11-01 17:00:00+00:00,9.293e-05,B_in_next→use_rate_b
AIA/USDT,8.646e-05,bybit,2025-11-01 17:00:00+00:00,8.9e-05,bitget,2025-11-01 20:00:00+00:00,8.646e-05,B_in_next→use_rate_b
OM/USDT,-0.001528,bitget,2025-11-01 20:00:00+00:00,-6.176e-05,bybit,2025-11-01 17:00:00+00:00,6.176e-05,B_in_next→use_rate_b
F/USDT,-2.3e-05,bitget,2025-11-01 17:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,3.55e-05,same_time→spread
SUPER/USDT,-1.8e-05,bitget,2025-11-01 17:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,3.0500000000000003e-05,same_time→spread
ZBT/USDT,-1.6e-05,bitget,2025-11-01 17:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,2.85e-05,same_time→spread
HANA/USDT,1.3e-05,bitget,2025-11-01 17:00:00+00:00,5e-05,bybit,2025-11-01 20:00:00+00:00,1.3e-05,A_in_next→use_rate_a
SOPH/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,htx,2025-11-01 20:00:00+00:00,1.25e-05,A_in_next→use_rate_a
SOMI/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,3.7e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MYX/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SAHARA/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
TREE/USDT,-7.9e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
TURTLE/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
VIC/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
API3/USDT,-0.000299,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
WCT/USDT,-0.000351,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
AXL/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ZRC/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
RVN/USDT,-6.1e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MASK/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
M/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
LA/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
