symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
SIGN/USDT,-0.003533,bitget,2025-11-05 20:00:00+00:00,-0.00123328,bybit,2025-11-05 17:00:00+00:00,0.00123328,B_in_next→use_rate_b
SOPH/USDT,-0.00073313,bybit,2025-11-05 17:00:00+00:00,5e-05,htx,2025-11-05 20:00:00+00:00,0.00073313,A_in_next→use_rate_a
0G/USDT,-0.0006809927557374,okx,2025-11-05 17:00:00+00:00,1.25e-05,htx,2025-11-05 17:00:00+00:00,0.0006934927557374,same_time→spread
PRCL/USDT,-0.0006665,bybit,2025-11-05 17:00:00+00:00,-0.000170313718882,okx,2025-11-05 20:00:00+00:00,0.0006665,A_in_next→use_rate_a
LA/USDT,-0.00064905,bybit,2025-11-05 17:00:00+00:00,-0.000401,bitget,2025-11-05 20:00:00+00:00,0.00064905,B_in_next→use_rate_b
RVN/USDT,-0.000687,bitget,2025-11-05 20:00:00+00:00,-0.00059712,bybit,2025-11-05 17:00:00+00:00,0.00059712,B_in_next→use_rate_b
ENSO/USDT,-0.00042306,bybit,2025-11-05 17:00:00+00:00,-0.000213,bitget,2025-11-05 20:00:00+00:00,0.00042306,B_in_next→use_rate_b
COAI/USDT,0.0001774122625396,okx,2025-11-05 20:00:00+00:00,0.00034297946249294,htx,2025-11-05 17:00:00+00:00,0.00034297946249294,A_in_next→use_rate_a
BIO/USDT,-0.000246,bitget,2025-11-05 17:00:00+00:00,1.25e-05,htx,2025-11-05 17:00:00+00:00,0.0002585,same_time→spread
SAHARA/USDT,-0.00021394,bybit,2025-11-05 17:00:00+00:00,5e-05,bitget,2025-11-05 20:00:00+00:00,0.00021394,B_in_next→use_rate_b
ELX/USDT,-0.000197,bitget,2025-11-05 17:00:00+00:00,1.25e-05,bybit,2025-11-05 17:00:00+00:00,0.0002095,same_time→spread
API3/USDT,-0.000284,bitget,2025-11-05 20:00:00+00:00,-0.00017676,bybit,2025-11-05 17:00:00+00:00,0.00017676,B_in_next→use_rate_b
WAL/USDT,-0.000275,bitget,2025-11-05 20:00:00+00:00,-0.00016745,bybit,2025-11-05 17:00:00+00:00,0.00016745,B_in_next→use_rate_b
FF/USDT,-0.00014803,bybit,2025-11-05 17:00:00+00:00,5e-05,bitget,2025-11-05 20:00:00+00:00,0.00014803,B_in_next→use_rate_b
CARV/USDT,-9.781e-05,bybit,2025-11-05 17:00:00+00:00,0.000689,bitget,2025-11-05 20:00:00+00:00,9.781e-05,B_in_next→use_rate_b
ME/USDT,-7.4e-05,bitget,2025-11-05 17:00:00+00:00,1.25e-05,bybit,2025-11-05 17:00:00+00:00,8.65e-05,same_time→spread
SNT/USDT,-0.00019,bitget,2025-11-05 17:00:00+00:00,-0.00011867,bybit,2025-11-05 17:00:00+00:00,7.133000000000001e-05,same_time→spread
