symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
DOOD/USDT,-0.00126428,bybit,2025-11-01 14:00:00+00:00,-0.0007307186842486,okx,2025-11-01 16:00:00+00:00,0.00126428,A_in_next→use_rate_a
LPT/USDT,-0.003673,bitget,2025-11-01 16:00:00+00:00,-0.00105109,bybit,2025-11-01 14:00:00+00:00,0.00105109,B_in_next→use_rate_b
PRCL/USDT,-0.0023609202603115,okx,2025-11-01 16:00:00+00:00,-0.000831,bitget,2025-11-01 14:00:00+00:00,0.000831,A_in_next→use_rate_a
NEWT/USDT,-0.002374,bitget,2025-11-01 16:00:00+00:00,-0.00073379,bybit,2025-11-01 14:00:00+00:00,0.00073379,B_in_next→use_rate_b
ENSO/USDT,-0.00046024,bybit,2025-11-01 14:00:00+00:00,-0.000226,bitget,2025-11-01 16:00:00+00:00,0.00046024,B_in_next→use_rate_b
SONIC/USDT,-0.00043912,bybit,2025-11-01 14:00:00+00:00,-0.000105,bitget,2025-11-01 16:00:00+00:00,0.00043912,B_in_next→use_rate_b
COAI/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.0004510646140149,okx,2025-11-01 14:00:00+00:00,0.0004385646140149,same_time→spread
OM/USDT,-0.000933,bitget,2025-11-01 16:00:00+00:00,-0.00038484,bybit,2025-11-01 14:00:00+00:00,0.00038484,B_in_next→use_rate_b
IP/USDT,-0.001081,bitget,2025-11-01 16:00:00+00:00,-0.00034215,bybit,2025-11-01 14:00:00+00:00,0.00034215,B_in_next→use_rate_b
WAL/USDT,-0.000752,bitget,2025-11-01 16:00:00+00:00,-0.00024479,bybit,2025-11-01 14:00:00+00:00,0.00024479,B_in_next→use_rate_b
SNT/USDT,-0.000185,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.0001975,same_time→spread
KAITO/USDT,-0.001149,bitget,2025-11-01 16:00:00+00:00,-0.00016294,bybit,2025-11-01 14:00:00+00:00,0.00016294,B_in_next→use_rate_b
XTZ/USDT,-0.000446,bitget,2025-11-01 16:00:00+00:00,-0.00015861,bybit,2025-11-01 14:00:00+00:00,0.00015861,B_in_next→use_rate_b
0G/USDT,-0.000125,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.0001375,same_time→spread
WCT/USDT,-0.000211,bitget,2025-11-01 16:00:00+00:00,-0.00013699,bybit,2025-11-01 14:00:00+00:00,0.00013699,B_in_next→use_rate_b
SIGN/USDT,-0.000389,bitget,2025-11-01 16:00:00+00:00,-0.00012094,bybit,2025-11-01 14:00:00+00:00,0.00012094,B_in_next→use_rate_b
BIO/USDT,-0.0001023379946,okx,2025-11-01 14:00:00+00:00,1.25e-05,htx,2025-11-01 14:00:00+00:00,0.0001148379946,same_time→spread
