symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
LPT/USDT,-0.011181,bitget,2025-11-02 16:00:00+00:00,-0.00555213,bybit,2025-11-02 15:00:00+00:00,0.00555213,B_in_next→use_rate_b
ELX/USDT,-0.00288462,bybit,2025-11-02 15:00:00+00:00,-0.000569,bitget,2025-11-02 15:00:00+00:00,0.00231562,same_time→spread
ZBT/USDT,-0.00200815,bybit,2025-11-02 15:00:00+00:00,-0.0016911946268301,okx,2025-11-02 16:00:00+00:00,0.00200815,A_in_next→use_rate_a
PRCL/USDT,-0.0057599587600249,okx,2025-11-02 16:00:00+00:00,-0.00152519,bybit,2025-11-02 15:00:00+00:00,0.00152519,A_in_next→use_rate_a
AXL/USDT,-0.00100633,bybit,2025-11-02 15:00:00+00:00,5e-05,bitget,2025-11-02 16:00:00+00:00,0.00100633,B_in_next→use_rate_b
FLOCK/USDT,-0.000755,bitget,2025-11-02 16:00:00+00:00,-0.00074093,bybit,2025-11-02 15:00:00+00:00,0.00074093,B_in_next→use_rate_b
ENSO/USDT,-0.001316,bitget,2025-11-02 16:00:00+00:00,-0.00066093,bybit,2025-11-02 15:00:00+00:00,0.00066093,B_in_next→use_rate_b
OM/USDT,-0.00055878,bybit,2025-11-02 15:00:00+00:00,-0.000506,bitget,2025-11-02 16:00:00+00:00,0.00055878,B_in_next→use_rate_b
WAL/USDT,-0.001062,bitget,2025-11-02 16:00:00+00:00,-0.00050802,bybit,2025-11-02 15:00:00+00:00,0.00050802,B_in_next→use_rate_b
NEWT/USDT,-0.000472,bitget,2025-11-02 16:00:00+00:00,-0.00042824,bybit,2025-11-02 15:00:00+00:00,0.00042824,B_in_next→use_rate_b
DOOD/USDT,-0.0008331600767007,okx,2025-11-02 16:00:00+00:00,-0.000314,bitget,2025-11-02 15:00:00+00:00,0.000314,A_in_next→use_rate_a
IP/USDT,-0.000515,bitget,2025-11-02 16:00:00+00:00,-0.000257630680536404,htx,2025-11-02 15:00:00+00:00,0.000257630680536404,B_in_next→use_rate_b
MASK/USDT,-0.00024621,bybit,2025-11-02 15:00:00+00:00,5e-05,bitget,2025-11-02 16:00:00+00:00,0.00024621,B_in_next→use_rate_b
