symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
LPT/USDT,-0.011167,bitget,2025-11-02 16:00:00+00:00,-0.0056726,bybit,2025-11-02 15:00:00+00:00,0.0056726,B_in_next→use_rate_b
ELX/USDT,-0.00324606,bybit,2025-11-02 15:00:00+00:00,-0.0006,bitget,2025-11-02 15:00:00+00:00,0.00264606,same_time→spread
ZBT/USDT,-0.00211094,bybit,2025-11-02 15:00:00+00:00,-0.0017507348638611,okx,2025-11-02 16:00:00+00:00,0.00211094,A_in_next→use_rate_a
PRCL/USDT,-0.0059378359232695,okx,2025-11-02 16:00:00+00:00,-0.00175608,bybit,2025-11-02 15:00:00+00:00,0.00175608,A_in_next→use_rate_a
AXL/USDT,-0.00083755,bybit,2025-11-02 15:00:00+00:00,5e-05,bitget,2025-11-02 16:00:00+00:00,0.00083755,B_in_next→use_rate_b
ENSO/USDT,-0.001364,bitget,2025-11-02 16:00:00+00:00,-0.00072565,bybit,2025-11-02 15:00:00+00:00,0.00072565,B_in_next→use_rate_b
OM/USDT,-0.00055777,bybit,2025-11-02 15:00:00+00:00,-0.000497,bitget,2025-11-02 16:00:00+00:00,0.00055777,B_in_next→use_rate_b
FLOCK/USDT,-0.000738,bitget,2025-11-02 16:00:00+00:00,-0.00055244,bybit,2025-11-02 15:00:00+00:00,0.00055244,B_in_next→use_rate_b
COAI/USDT,1.3e-05,bitget,2025-11-02 15:00:00+00:00,0.000472811502923774,htx,2025-11-02 15:00:00+00:00,0.000459811502923774,same_time→spread
WAL/USDT,-0.001064,bitget,2025-11-02 16:00:00+00:00,-0.0004539,bybit,2025-11-02 15:00:00+00:00,0.0004539,B_in_next→use_rate_b
NEWT/USDT,-0.000501,bitget,2025-11-02 16:00:00+00:00,-0.0004418,bybit,2025-11-02 15:00:00+00:00,0.0004418,B_in_next→use_rate_b
DOOD/USDT,-0.0008575455387272,okx,2025-11-02 16:00:00+00:00,-0.000381,bitget,2025-11-02 15:00:00+00:00,0.000381,A_in_next→use_rate_a
MASK/USDT,-0.00034784,bybit,2025-11-02 15:00:00+00:00,5e-05,bitget,2025-11-02 16:00:00+00:00,0.00034784,B_in_next→use_rate_b
IP/USDT,-0.000514,bitget,2025-11-02 16:00:00+00:00,-0.000270593461975325,htx,2025-11-02 15:00:00+00:00,0.000270593461975325,B_in_next→use_rate_b
F/USDT,-0.000219,bitget,2025-11-02 15:00:00+00:00,1.25e-05,htx,2025-11-02 15:00:00+00:00,0.00023150000000000002,same_time→spread
ME/USDT,-0.0003514458568255,okx,2025-11-02 15:00:00+00:00,-0.00024,bitget,2025-11-02 15:00:00+00:00,0.00011144585682550001,same_time→spread
KAITO/USDT,-0.000556,bitget,2025-11-02 16:00:00+00:00,-8.336e-05,bybit,2025-11-02 15:00:00+00:00,8.336e-05,B_in_next→use_rate_b
AVNT/USDT,-0.000754,bitget,2025-11-02 16:00:00+00:00,-7.54436860789e-05,okx,2025-11-02 15:00:00+00:00,7.54436860789e-05,B_in_next→use_rate_b
