symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
IP/USDT,-0.005758,bitget,2025-11-13 16:00:00+00:00,-0.00223337,bybit,2025-11-13 14:00:00+00:00,0.00223337,B_in_next→use_rate_b
LSK/USDT,-0.00330874,bybit,2025-11-13 14:00:00+00:00,-0.001112,bitget,2025-11-13 14:00:00+00:00,0.00219674,same_time→spread
USUAL/USDT,-0.00163922,bybit,2025-11-13 14:00:00+00:00,-0.00096,bitget,2025-11-13 16:00:00+00:00,0.00163922,B_in_next→use_rate_b
SOON/USDT,-0.003056137405672074,htx,2025-11-13 16:00:00+00:00,-0.0010110594130195,okx,2025-11-13 14:00:00+00:00,0.0010110594130195,B_in_next→use_rate_b
LA/USDT,-0.001782,bitget,2025-11-13 16:00:00+00:00,-0.00086633,bybit,2025-11-13 14:00:00+00:00,0.00086633,B_in_next→use_rate_b
DOOD/USDT,-0.0027803548082226,okx,2025-11-13 16:00:00+00:00,-0.000764,bitget,2025-11-13 14:00:00+00:00,0.000764,A_in_next→use_rate_a
BABY/USDT,-0.002062,bitget,2025-11-13 16:00:00+00:00,-0.00070684,bybit,2025-11-13 14:00:00+00:00,0.00070684,B_in_next→use_rate_b
PARTI/USDT,-0.003574,bitget,2025-11-13 16:00:00+00:00,-0.0004960398161476,okx,2025-11-13 14:00:00+00:00,0.0004960398161476,B_in_next→use_rate_b
KAVA/USDT,-0.0010637,bybit,2025-11-13 16:00:00+00:00,-0.000426,bitget,2025-11-13 14:00:00+00:00,0.000426,A_in_next→use_rate_a
DBR/USDT,-0.00069855,bybit,2025-11-13 14:00:00+00:00,-0.000274,bitget,2025-11-13 14:00:00+00:00,0.00042455000000000005,same_time→spread
0G/USDT,-0.000348,bitget,2025-11-13 14:00:00+00:00,1.25e-05,okx,2025-11-13 14:00:00+00:00,0.0003605,same_time→spread
COAI/USDT,0.000356403673226955,htx,2025-11-13 14:00:00+00:00,0.001208218478076,okx,2025-11-13 16:00:00+00:00,0.000356403673226955,A_in_next→use_rate_a
GODS/USDT,-0.00160718,bybit,2025-11-13 16:00:00+00:00,-0.000282,bitget,2025-11-13 14:00:00+00:00,0.000282,A_in_next→use_rate_a
OM/USDT,-0.000695,bitget,2025-11-13 16:00:00+00:00,-0.00027467,bybit,2025-11-13 14:00:00+00:00,0.00027467,B_in_next→use_rate_b
AIA/USDT,1.25e-05,bybit,2025-11-13 14:00:00+00:00,0.000287,bitget,2025-11-13 14:00:00+00:00,0.0002745,same_time→spread
M/USDT,5e-05,bitget,2025-11-13 16:00:00+00:00,0.00022032,bybit,2025-11-13 14:00:00+00:00,0.00022032,B_in_next→use_rate_b
BERA/USDT,-0.000403,bitget,2025-11-13 16:00:00+00:00,-0.00017622,bybit,2025-11-13 14:00:00+00:00,0.00017622,B_in_next→use_rate_b
BIO/USDT,-0.0006289792623423,okx,2025-11-13 16:00:00+00:00,-0.000121,bitget,2025-11-13 14:00:00+00:00,0.000121,A_in_next→use_rate_a
HIVE/USDT,2.5e-05,bybit,2025-11-13 14:00:00+00:00,5e-05,bitget,2025-11-13 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
