timestamp_utc,exchange,symbol,symbol_n,funding_rate,next_funding_rate,next_funding_time,funding_time,raw_note
2025-11-20 14:51:15+0000,binance,0GUSDT,0G/USDT,-9.406e-05,,,2025-11-20 15:00:00+0000,
2025-11-20 14:51:15+0000,binance,1000BONKUSDT,1000BONK/USDT,5e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,1000FLOKIUSDT,1000FLOKI/USDT,9.632e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,1000PEPEUSDT,1000PEPE/USDT,0.0001,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,2ZUSDT,2Z/USDT,-0.0001717,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,4USDT,4/USDT,0.00052045,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,AAVEUSDT,AAVE/USDT,0.0001,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ACTUSDT,ACT/USDT,5e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ADAUSDT,ADA/USDT,0.0001,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,AEROUSDT,AERO/USDT,5e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,AEVOUSDT,AEVO/USDT,1.231e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,AIAUSDT,AIA/USDT,4.169e-05,,,2025-11-20 15:00:00+0000,
2025-11-20 14:51:15+0000,binance,AIXBTUSDT,AIXBT/USDT,-5.058e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,AKEUSDT,AKE/USDT,-0.00030692,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ALCHUSDT,ALCH/USDT,5e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ALGOUSDT,ALGO/USDT,0.0001,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ALLOUSDT,ALLO/USDT,-1.782e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ALTUSDT,ALT/USDT,1.18e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,APEUSDT,APE/USDT,3.476e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,API3USDT,API3/USDT,-0.00033166,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,APRUSDT,APR/USDT,5e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,APTUSDT,APT/USDT,-0.00016129,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ARBUSDT,ARB/USDT,0.0001,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ARKMUSDT,ARKM/USDT,-4.134e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ARUSDT,AR/USDT,9.74e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ASTERUSDT,ASTER/USDT,5e-05,,,2025-11-20 16:00:00+0000,
2025-11-20 14:51:15+0000,binance,ATOMUSDT,ATOM/USDT,7.906e-05,,,2025-11-20 16:00:00+0000,
