timestamp_utc,exchange,symbol,symbol_n,funding_rate,next_funding_rate,next_funding_time,funding_time,raw_note
2025-11-01 16:46:15+0000,bitget,$DEGENUSDT_UMCBL,DEGEN/USDT,5e-05,,,2025-11-01 20:00:00+0000,symbol_used=$DEGENUSDT_UMCBL; next_settle_time=2025-11-01 20:00:00+0000
2025-11-01 16:46:15+0000,bitget,0GUSDT_UMCBL,0G/USDT,-0.000198,,,2025-11-01 17:00:00+0000,symbol_used=0GUSDT_UMCBL; next_settle_time=2025-11-01 17:00:00+0000
2025-11-01 16:46:15+0000,bitget,1000000MOGUSDT_UMCBL,1000000MOG/USDT,5e-05,,,2025-11-01 20:00:00+0000,symbol_used=1000000MOGUSDT_UMCBL; next_settle_time=2025-11-01 20:00:00+0000
2025-11-01 16:46:15+0000,bitget,10000ELONUSDT_UMCBL,10000ELON/USDT,5e-05,,,2025-11-01 20:00:00+0000,symbol_used=10000ELONUSDT_UMCBL; next_settle_time=2025-11-01 20:00:00+0000
2025-11-01 16:46:15+0000,bitget,1000BONKUSDT_UMCBL,1000BONK/USDT,3.3e-05,,,2025-11-01 20:00:00+0000,symbol_used=1000BONKUSDT_UMCBL; next_settle_time=2025-11-01 20:00:00+0000
2025-11-01 16:46:15+0000,bitget,1000CATUSDT_UMCBL,1000CAT/USDT,5e-05,,,2025-11-01 20:00:00+0000,symbol_used=1000CATUSDT_UMCBL; next_settle_time=2025-11-01 20:00:00+0000
2025-11-01 16:46:15+0000,bitget,1000RATSUSDT_UMCBL,1000RATS/USDT,5e-05,,,2025-11-01 20:00:00+0000,symbol_used=1000RATSUSDT_UMCBL; next_settle_time=2025-11-01 20:00:00+0000
2025-11-01 16:46:15+0000,bitget,1000XECUSDT_UMCBL,1000XEC/USDT,0.0001,,,2025-11-02 00:00:00+0000,symbol_used=1000XECUSDT_UMCBL; next_settle_time=2025-11-02 00:00:00+0000
2025-11-01 16:46:15+0000,bitget,1INCHUSDT_UMCBL,1INCH/USDT,-8e-06,,,2025-11-02 00:00:00+0000,symbol_used=1INCHUSDT_UMCBL; next_settle_time=2025-11-02 00:00:00+0000
2025-11-01 16:46:15+0000,bitget,2ZUSDT_UMCBL,2Z/USDT,5e-05,,,2025-11-01 20:00:00+0000,symbol_used=2ZUSDT_UMCBL; next_settle_time=2025-11-01 20:00:00+0000
