symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
ORCA/USDT,-0.00202118,bybit,2025-11-13 22:00:00+00:00,-0.001782,bitget,2025-11-14 00:00:00+00:00,0.00202118,B_in_next→use_rate_b
IP/USDT,-0.001577802203644995,htx,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.001590302203644995,same_time→spread
KAVA/USDT,-0.0242487,bybit,2025-11-14 00:00:00+00:00,-0.001258,bitget,2025-11-13 22:00:00+00:00,0.001258,A_in_next→use_rate_a
RESOLV/USDT,-0.0006888062174157,okx,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.0007013062174157,same_time→spread
BIO/USDT,-0.000644800240849875,htx,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.0006573002408498751,same_time→spread
VANA/USDT,-0.00047009,bybit,2025-11-13 22:00:00+00:00,-0.000252,bitget,2025-11-14 00:00:00+00:00,0.00047009,B_in_next→use_rate_b
SOON/USDT,-0.0004287665932164,okx,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.0004412665932164,same_time→spread
COW/USDT,-0.00039723,bybit,2025-11-13 22:00:00+00:00,-3.4e-05,bitget,2025-11-14 00:00:00+00:00,0.00039723,B_in_next→use_rate_b
USUAL/USDT,-0.000792,bitget,2025-11-14 00:00:00+00:00,-0.00037762,bybit,2025-11-13 22:00:00+00:00,0.00037762,B_in_next→use_rate_b
BERA/USDT,-0.00061,bitget,2025-11-14 00:00:00+00:00,-0.00036682,bybit,2025-11-13 22:00:00+00:00,0.00036682,B_in_next→use_rate_b
AIA/USDT,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.000338,bitget,2025-11-13 22:00:00+00:00,0.0003255,same_time→spread
MAGIC/USDT,-0.00044,bitget,2025-11-14 00:00:00+00:00,-0.00029242,bybit,2025-11-13 22:00:00+00:00,0.00029242,B_in_next→use_rate_b
0G/USDT,-0.0002741528104864,okx,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.0002866528104864,same_time→spread
SONIC/USDT,-0.00028398,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,0.00028398,B_in_next→use_rate_b
DBR/USDT,-0.000232,bitget,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.0002445,same_time→spread
DOOD/USDT,-0.00022,bitget,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.0002325,same_time→spread
LSK/USDT,-0.000211,bitget,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.0002235,same_time→spread
SNT/USDT,-0.000183,bitget,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,0.0001955,same_time→spread
HANA/USDT,5e-05,bybit,2025-11-14 00:00:00+00:00,0.000195,bitget,2025-11-13 22:00:00+00:00,0.000195,A_in_next→use_rate_a
HIVE/USDT,-0.00010209,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,0.00010209,B_in_next→use_rate_b
GAS/USDT,-0.000101,bitget,2025-11-14 00:00:00+00:00,-0.00010033,bybit,2025-11-13 22:00:00+00:00,0.00010033,B_in_next→use_rate_b
PRCL/USDT,-6.2e-05,bitget,2025-11-13 22:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,7.450000000000001e-05,same_time→spread
AVL/USDT,-0.00063741,bybit,2025-11-13 22:00:00+00:00,-0.000577,bitget,2025-11-13 22:00:00+00:00,6.041e-05,same_time→spread
HIPPO/USDT,-3.7e-05,bitget,2025-11-13 22:00:00+00:00,5e-05,bybit,2025-11-14 00:00:00+00:00,3.7e-05,A_in_next→use_rate_a
B3/USDT,2.5e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,2.5e-05,B_in_next→use_rate_b
BAN/USDT,2.5e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,2.5e-05,B_in_next→use_rate_b
CGPT/USDT,2.5e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,2.5e-05,B_in_next→use_rate_b
MOVE/USDT,2.5e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,2.5e-05,B_in_next→use_rate_b
ANIME/USDT,2.5e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,2.5e-05,B_in_next→use_rate_b
GODS/USDT,2.5e-05,bitget,2025-11-13 22:00:00+00:00,5e-05,bybit,2025-11-14 00:00:00+00:00,2.5e-05,A_in_next→use_rate_a
T/USDT,2.5e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,2.5e-05,B_in_next→use_rate_b
BABY/USDT,-0.000757,bitget,2025-11-14 00:00:00+00:00,-2.071e-05,bybit,2025-11-13 22:00:00+00:00,2.071e-05,B_in_next→use_rate_b
COAI/USDT,1.3e-05,bitget,2025-11-13 22:00:00+00:00,5e-05,okx,2025-11-14 00:00:00+00:00,1.3e-05,A_in_next→use_rate_a
ME/USDT,-0.0002088223105018,okx,2025-11-14 00:00:00+00:00,1.3e-05,bitget,2025-11-13 22:00:00+00:00,1.3e-05,A_in_next→use_rate_a
SIGN/USDT,1.25e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,1.25e-05,B_in_next→use_rate_b
RIVER/USDT,1.25e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,1.25e-05,B_in_next→use_rate_b
RVN/USDT,9e-06,bitget,2025-11-14 00:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SAHARA/USDT,1.25e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,1.25e-05,B_in_next→use_rate_b
TURTLE/USDT,1.25e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOMI/USDT,1e-06,bitget,2025-11-14 00:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ZBT/USDT,1.25e-05,bybit,2025-11-13 22:00:00+00:00,5e-05,bitget,2025-11-14 00:00:00+00:00,1.25e-05,B_in_next→use_rate_b
XTZ/USDT,-0.000138,bitget,2025-11-14 00:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,1.25e-05,B_in_next→use_rate_b
TREE/USDT,-0.000648,bitget,2025-11-14 00:00:00+00:00,1.25e-05,bybit,2025-11-13 22:00:00+00:00,1.25e-05,B_in_next→use_rate_b
