timestamp_utc,exchange,symbol,symbol_n,funding_rate,next_funding_rate,next_funding_time,funding_time,raw_note
2025-11-16 11:06:15+0000,bitget,0GUSDT_UMCBL,0G/USDT,-0.00044,,,2025-11-16 12:00:00+0000,symbol_used=0GUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:06:15+0000,bitget,AAVEUSDT_UMCBL,AAVE/USDT,-4.8e-05,,,2025-11-16 16:00:00+0000,symbol_used=AAVEUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,ADAUSDT_UMCBL,ADA/USDT,8.8e-05,,,2025-11-16 16:00:00+0000,symbol_used=ADAUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,AIAUSDT_UMCBL,AIA/USDT,0.000129,,,2025-11-16 12:00:00+0000,symbol_used=AIAUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:06:15+0000,bitget,ALCHUSDT_UMCBL,ALCH/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=ALCHUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:06:15+0000,bitget,APTUSDT_UMCBL,APT/USDT,-0.000389,,,2025-11-16 16:00:00+0000,symbol_used=APTUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,ARBUSDT_UMCBL,ARB/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=ARBUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,ASTERUSDT_UMCBL,ASTER/USDT,2.8e-05,,,2025-11-16 12:00:00+0000,symbol_used=ASTERUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:06:15+0000,bitget,AVAXUSDT_UMCBL,AVAX/USDT,6.4e-05,,,2025-11-16 16:00:00+0000,symbol_used=AVAXUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,BANKUSDT_UMCBL,BANK/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=BANKUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:06:15+0000,bitget,BCHUSDT_UMCBL,BCH/USDT,4.2e-05,,,2025-11-16 16:00:00+0000,symbol_used=BCHUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,BEATUSDT_UMCBL,BEAT/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=BEATUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:06:15+0000,bitget,BNBUSDT_UMCBL,BNB/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=BNBUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,BTCUSDT_UMCBL,BTC/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=BTCUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,BTCUSD_DMCBL,BTC/USD,5.3e-05,,,2025-11-16 16:00:00+0000,symbol_used=BTCUSD_DMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,COAIUSDT_UMCBL,COAI/USDT,1.1e-05,,,2025-11-16 12:00:00+0000,symbol_used=COAIUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:06:15+0000,bitget,CROSSUSDT_UMCBL,CROSS/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=CROSSUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:06:15+0000,bitget,CRVUSDT_UMCBL,CRV/USDT,-5e-05,,,2025-11-16 16:00:00+0000,symbol_used=CRVUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,DASHUSDT_UMCBL,DASH/USDT,-0.016487,,,2025-11-16 16:00:00+0000,symbol_used=DASHUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:06:15+0000,bitget,DOGEUSDT_UMCBL,DOGE/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=DOGEUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
