symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
TREE/USDT,-0.001756,bitget,2025-11-04 00:00:00+00:00,-0.00118923,bybit,2025-11-03 21:00:00+00:00,0.00118923,B_in_next→use_rate_b
0G/USDT,-0.001213,bitget,2025-11-03 21:00:00+00:00,-0.00011971,bybit,2025-11-03 21:00:00+00:00,0.00109329,same_time→spread
PRCL/USDT,-0.0031786501757741,okx,2025-11-04 00:00:00+00:00,-0.000616,bitget,2025-11-03 21:00:00+00:00,0.000616,A_in_next→use_rate_a
SNT/USDT,-0.00084973,bybit,2025-11-03 21:00:00+00:00,-0.000264,bitget,2025-11-03 21:00:00+00:00,0.00058573,same_time→spread
COAI/USDT,1.25e-05,bybit,2025-11-03 21:00:00+00:00,0.0005733273717254,okx,2025-11-03 21:00:00+00:00,0.0005608273717254,same_time→spread
LPT/USDT,-0.001469,bitget,2025-11-04 00:00:00+00:00,-0.00053014,bybit,2025-11-03 21:00:00+00:00,0.00053014,B_in_next→use_rate_b
OM/USDT,-0.002364,bitget,2025-11-04 00:00:00+00:00,-0.00051612,bybit,2025-11-03 21:00:00+00:00,0.00051612,B_in_next→use_rate_b
ZBT/USDT,-0.000378,bitget,2025-11-03 21:00:00+00:00,1.25e-05,htx,2025-11-03 21:00:00+00:00,0.0003905,same_time→spread
BIO/USDT,-0.0006156060877582,okx,2025-11-03 21:00:00+00:00,-0.000255394303495345,htx,2025-11-03 21:00:00+00:00,0.000360211784262855,same_time→spread
MYX/USDT,5e-05,bitget,2025-11-04 00:00:00+00:00,0.00025111,bybit,2025-11-03 21:00:00+00:00,0.00025111,B_in_next→use_rate_b
FF/USDT,-0.00019259,bybit,2025-11-03 21:00:00+00:00,5e-05,bitget,2025-11-04 00:00:00+00:00,0.00019259,B_in_next→use_rate_b
