symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
LPT/USDT,-0.004104,bitget,2025-11-01 16:00:00+00:00,-0.00225788,bybit,2025-11-01 14:00:00+00:00,0.00225788,B_in_next→use_rate_b
PRCL/USDT,-0.000913,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.0009255,same_time→spread
DOOD/USDT,-0.00089339,bybit,2025-11-01 14:00:00+00:00,-0.0003321970165697,okx,2025-11-01 16:00:00+00:00,0.00089339,A_in_next→use_rate_a
COAI/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.000639081768618,okx,2025-11-01 14:00:00+00:00,0.0006265817686179999,same_time→spread
ENSO/USDT,-0.00055406,bybit,2025-11-01 14:00:00+00:00,-1.3e-05,bitget,2025-11-01 16:00:00+00:00,0.00055406,B_in_next→use_rate_b
NEWT/USDT,-0.002337,bitget,2025-11-01 16:00:00+00:00,-0.00042625,bybit,2025-11-01 14:00:00+00:00,0.00042625,B_in_next→use_rate_b
KAITO/USDT,-0.001149,bitget,2025-11-01 16:00:00+00:00,-0.0002676,bybit,2025-11-01 14:00:00+00:00,0.0002676,B_in_next→use_rate_b
OM/USDT,-0.000596,bitget,2025-11-01 16:00:00+00:00,-0.00024241,bybit,2025-11-01 14:00:00+00:00,0.00024241,B_in_next→use_rate_b
WAL/USDT,-0.00076,bitget,2025-11-01 16:00:00+00:00,-0.0002193,bybit,2025-11-01 14:00:00+00:00,0.0002193,B_in_next→use_rate_b
SNT/USDT,-0.00017,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.00018250000000000002,same_time→spread
SONIC/USDT,-0.00016756,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,0.00016756,B_in_next→use_rate_b
ME/USDT,-0.0001520027546295,okx,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.0001645027546295,same_time→spread
ZBT/USDT,-0.00012903,bybit,2025-11-01 14:00:00+00:00,1.25e-05,htx,2025-11-01 14:00:00+00:00,0.00014153,same_time→spread
0G/USDT,-0.000125,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,0.0001375,same_time→spread
SUPER/USDT,-7.4e-05,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,8.65e-05,same_time→spread
AVNT/USDT,-0.00071,bitget,2025-11-01 16:00:00+00:00,-7.76909475883e-05,okx,2025-11-01 14:00:00+00:00,7.76909475883e-05,B_in_next→use_rate_b
IP/USDT,-0.001135,bitget,2025-11-01 16:00:00+00:00,-7.2296577501231e-05,htx,2025-11-01 14:00:00+00:00,7.2296577501231e-05,B_in_next→use_rate_b
AIA/USDT,5.399e-05,bybit,2025-11-01 14:00:00+00:00,0.000561,bitget,2025-11-01 16:00:00+00:00,5.399e-05,B_in_next→use_rate_b
XTZ/USDT,-0.000463,bitget,2025-11-01 16:00:00+00:00,-5.253e-05,bybit,2025-11-01 14:00:00+00:00,5.253e-05,B_in_next→use_rate_b
F/USDT,-3.9e-05,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5.15e-05,same_time→spread
BIO/USDT,-3.7e-05,bitget,2025-11-01 14:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,4.95e-05,same_time→spread
VANA/USDT,-0.000348,bitget,2025-11-01 16:00:00+00:00,-4.64e-05,bybit,2025-11-01 14:00:00+00:00,4.64e-05,B_in_next→use_rate_b
HANA/USDT,3.4e-05,bitget,2025-11-01 14:00:00+00:00,5e-05,bybit,2025-11-01 16:00:00+00:00,3.4e-05,A_in_next→use_rate_a
BERA/USDT,-0.000345,bitget,2025-11-01 16:00:00+00:00,-2.89e-05,bybit,2025-11-01 14:00:00+00:00,2.89e-05,B_in_next→use_rate_b
ANIME/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
MAGIC/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
ZETA/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
HIVE/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
CGPT/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
T/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
GAS/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
B3/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
BABY/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
USUAL/USDT,-0.000123,bitget,2025-11-01 16:00:00+00:00,2.5e-05,bybit,2025-11-01 14:00:00+00:00,2.5e-05,B_in_next→use_rate_b
BAN/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
MOVE/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
ORCA/USDT,-0.000436,bitget,2025-11-01 16:00:00+00:00,2.5e-05,bybit,2025-11-01 14:00:00+00:00,2.5e-05,B_in_next→use_rate_b
COW/USDT,2.5e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,2.5e-05,B_in_next→use_rate_b
GODS/USDT,2.5e-05,bitget,2025-11-01 14:00:00+00:00,5e-05,bybit,2025-11-01 16:00:00+00:00,2.5e-05,A_in_next→use_rate_a
TURTLE/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOMI/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOPH/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,htx,2025-11-01 16:00:00+00:00,1.25e-05,A_in_next→use_rate_a
TREE/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SAHARA/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
VIC/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
WCT/USDT,-0.000105,bitget,2025-11-01 16:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SIGN/USDT,-0.000332,bitget,2025-11-01 16:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,1.25e-05,B_in_next→use_rate_b
LA/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
RVN/USDT,-0.000193,bitget,2025-11-01 16:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,1.25e-05,B_in_next→use_rate_b
FF/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
API3/USDT,-0.000291,bitget,2025-11-01 16:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,1.25e-05,B_in_next→use_rate_b
AXL/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
BARD/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
CARV/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MYX/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ERA/USDT,-0.000128,bitget,2025-11-01 16:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,1.25e-05,B_in_next→use_rate_b
FLOCK/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
H/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
HYPER/USDT,-0.000136,bitget,2025-11-01 16:00:00+00:00,1.25e-05,bybit,2025-11-01 14:00:00+00:00,1.25e-05,B_in_next→use_rate_b
M/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MASK/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MIRA/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ZRC/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,5e-05,bitget,2025-11-01 16:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ELX/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,1.3e-05,bitget,2025-11-01 14:00:00+00:00,4.999999999999986e-07,same_time→spread
DBR/USDT,1.25e-05,bybit,2025-11-01 14:00:00+00:00,1.3e-05,bitget,2025-11-01 14:00:00+00:00,4.999999999999986e-07,same_time→spread
AVL/USDT,2.5e-05,bitget,2025-11-01 14:00:00+00:00,2.5e-05,bitget,2025-11-01 14:00:00+00:00,0.0,same_time→spread
