timestamp_utc,exchange,symbol,symbol_n,funding_rate,next_funding_rate,next_funding_time,funding_time,raw_note
2025-11-13 12:55:15+0000,bitget,$DEGENUSDT_UMCBL,DEGEN/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=$DEGENUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,0GUSDT_UMCBL,0G/USDT,-0.000401,,,2025-11-13 13:00:00+0000,symbol_used=0GUSDT_UMCBL; next_settle_time=2025-11-13 13:00:00+0000
2025-11-13 12:55:15+0000,bitget,1000000MOGUSDT_UMCBL,1000000MOG/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=1000000MOGUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,10000ELONUSDT_UMCBL,10000ELON/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=10000ELONUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,1000BONKUSDT_UMCBL,1000BONK/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=1000BONKUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,1000CATUSDT_UMCBL,1000CAT/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=1000CATUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,1000RATSUSDT_UMCBL,1000RATS/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=1000RATSUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,1000XECUSDT_UMCBL,1000XEC/USDT,0.0001,,,2025-11-13 16:00:00+0000,symbol_used=1000XECUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,1INCHUSDT_UMCBL,1INCH/USDT,0.0001,,,2025-11-13 16:00:00+0000,symbol_used=1INCHUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,1MBABYDOGEUSDT_UMCBL,1MBABYDOGE/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=1MBABYDOGEUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,2ZUSDT_UMCBL,2Z/USDT,-9.1e-05,,,2025-11-13 16:00:00+0000,symbol_used=2ZUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,4USDT_UMCBL,4/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=4USDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,A2ZUSDT_UMCBL,A2Z/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=A2ZUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,AAVEUSDT_UMCBL,AAVE/USDT,0.0001,,,2025-11-13 16:00:00+0000,symbol_used=AAVEUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,AAVEUSD_DMCBL,AAVE/USD,0.0001,,,2025-11-13 16:00:00+0000,symbol_used=AAVEUSD_DMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,ACEUSDT_UMCBL,ACE/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=ACEUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,ACHUSDT_UMCBL,ACH/USDT,0.0001,,,2025-11-13 16:00:00+0000,symbol_used=ACHUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,ACTUSDT_UMCBL,ACT/USDT,4.5e-05,,,2025-11-13 16:00:00+0000,symbol_used=ACTUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,ACXUSDT_UMCBL,ACX/USDT,5e-05,,,2025-11-13 16:00:00+0000,symbol_used=ACXUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,ADAUSDT_UMCBL,ADA/USDT,7.2e-05,,,2025-11-13 16:00:00+0000,symbol_used=ADAUSDT_UMCBL; next_settle_time=2025-11-13 16:00:00+0000
2025-11-13 12:55:15+0000,bitget,ADAUSD_DMCBL,ADA/USD,0.0001,,,2025-11-13 16:00:00+0000,symbol_used=ADAUSD_DMCBL; next_settle_time=2025-11-13 16:00:00+0000
