symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
PRCL/USDT,-0.00149339116,okx,2025-11-01 20:00:00+00:00,-0.000795,bitget,2025-11-01 17:00:00+00:00,0.000795,A_in_next→use_rate_a
KAITO/USDT,-0.001237,bitget,2025-11-01 20:00:00+00:00,-0.00074774,bybit,2025-11-01 17:00:00+00:00,0.00074774,B_in_next→use_rate_b
AVNT/USDT,-0.001127,bitget,2025-11-01 20:00:00+00:00,-0.0005835018794163,okx,2025-11-01 17:00:00+00:00,0.0005835018794163,B_in_next→use_rate_b
DOOD/USDT,-0.0039912123932839,okx,2025-11-01 20:00:00+00:00,-0.00050666,bybit,2025-11-01 17:00:00+00:00,0.00050666,A_in_next→use_rate_a
AIA/USDT,0.000186,bitget,2025-11-01 20:00:00+00:00,0.00046796,bybit,2025-11-01 17:00:00+00:00,0.00046796,B_in_next→use_rate_b
IP/USDT,-0.000879,bitget,2025-11-01 20:00:00+00:00,-0.00037248,bybit,2025-11-01 17:00:00+00:00,0.00037248,B_in_next→use_rate_b
WAL/USDT,-0.000962,bitget,2025-11-01 20:00:00+00:00,-0.00025695,bybit,2025-11-01 17:00:00+00:00,0.00025695,B_in_next→use_rate_b
COAI/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,0.0002451377637949,okx,2025-11-01 17:00:00+00:00,0.00023263776379489997,same_time→spread
0G/USDT,-0.000198,bitget,2025-11-01 17:00:00+00:00,1.25e-05,htx,2025-11-01 17:00:00+00:00,0.0002105,same_time→spread
LPT/USDT,-0.001414,bitget,2025-11-01 20:00:00+00:00,-0.00018062,bybit,2025-11-01 17:00:00+00:00,0.00018062,B_in_next→use_rate_b
BIO/USDT,-0.000149,bitget,2025-11-01 17:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,0.0001615,same_time→spread
ME/USDT,-0.00023134,bybit,2025-11-01 17:00:00+00:00,-0.0001194699672625,okx,2025-11-01 17:00:00+00:00,0.00011187003273749999,same_time→spread
SNT/USDT,-8e-05,bitget,2025-11-01 17:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,9.250000000000001e-05,same_time→spread
OM/USDT,-0.001246,bitget,2025-11-01 20:00:00+00:00,-8.896e-05,bybit,2025-11-01 17:00:00+00:00,8.896e-05,B_in_next→use_rate_b
NEWT/USDT,-0.000652,bitget,2025-11-01 20:00:00+00:00,-8.609e-05,bybit,2025-11-01 17:00:00+00:00,8.609e-05,B_in_next→use_rate_b
SIGN/USDT,-0.000233,bitget,2025-11-01 20:00:00+00:00,-6.259e-05,bybit,2025-11-01 17:00:00+00:00,6.259e-05,B_in_next→use_rate_b
F/USDT,-2.5e-05,bitget,2025-11-01 17:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,3.7500000000000003e-05,same_time→spread
ZBT/USDT,-0.0001796262235513,okx,2025-11-01 20:00:00+00:00,1.3e-05,bitget,2025-11-01 17:00:00+00:00,1.3e-05,A_in_next→use_rate_a
HANA/USDT,1.3e-05,bitget,2025-11-01 17:00:00+00:00,5e-05,bybit,2025-11-01 20:00:00+00:00,1.3e-05,A_in_next→use_rate_a
SOMI/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
RVN/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,4.6e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SAHARA/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MYX/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
SOPH/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,htx,2025-11-01 20:00:00+00:00,1.25e-05,A_in_next→use_rate_a
AXL/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
TURTLE/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
VIC/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
API3/USDT,-0.000161,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
WCT/USDT,-0.000243,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
XTZ/USDT,-0.000221,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
TREE/USDT,-0.000169,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ZRC/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MIRA/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,4.7e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
MASK/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
M/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
BARD/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
LA/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
CARV/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
HYPER/USDT,-0.000297,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
H/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,3.8e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
FLOCK/USDT,-0.000402,bitget,2025-11-01 20:00:00+00:00,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.25e-05,B_in_next→use_rate_b
FF/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ERA/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ENSO/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,5e-05,bitget,2025-11-01 20:00:00+00:00,1.25e-05,B_in_next→use_rate_b
ELX/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.3e-05,bitget,2025-11-01 17:00:00+00:00,4.999999999999986e-07,same_time→spread
SUPER/USDT,1.25e-05,bybit,2025-11-01 17:00:00+00:00,1.3e-05,bitget,2025-11-01 17:00:00+00:00,4.999999999999986e-07,same_time→spread
